"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CMC2",0.470097767314218,0.0349550960722983,3.75276756713084,0.000206496084020735,0.000796182063087195,-0.368712030348346
"ATF7",-0.242783130516827,0.0667309734998366,-3.75187624936758,0.000207201498248095,0.000798419774480437,-0.371913163230467
"AIDA",-0.292019249731175,0.0765332133299008,-3.75153754036042,0.000207470157874928,0.000798972833553326,-0.373129440357404
"MTDH",0.328862368876825,0.0771089361940147,3.74812389438008,0.000210196228262872,0.000808983072609063,-0.385381944054551
"POLA1",0.336951311322291,0.0419016272358474,3.74493563746237,0.000212772796316532,0.000818406207518707,-0.396816215980955
"CLGN",0.809925982379219,-0.158158541211822,3.74376013585194,0.000213730265138311,0.000821594065567799,-0.401029746345028
"NUDT3",-0.384405060221274,-0.297353058336161,-3.74228786124588,0.000214935194634529,0.000825728771204251,-0.406305332095712
"PCYOX1",-0.30332606143845,-0.404292311719657,-3.74190495072205,0.000215249622116496,0.000826439469160451,-0.407677098987928
"IER3IP1",0.501968034471169,-0.0332342394618608,3.74066242804072,0.000216272912051826,0.000829869316977708,-0.412127515990826
"HS1BP3",-0.264884119362627,0.0230013550010649,-3.73815945469936,0.000218348203783811,0.000837329297993773,-0.42108844199036
"RPL3",0.361863484107152,0.139457098523054,3.73713121761867,0.000219206177252562,0.000840114911018973,-0.424768049832748
"SNRPA1",0.186746942849497,0.324096528257307,3.73692644183178,0.000219377423870635,0.000840266857476908,-0.425500741193728
"NUP153",0.265215443246432,0.187235876975184,3.73640785408661,0.000219811664647084,0.00084142534698539,-0.427356092286934
"MEPCE",0.30114578371006,0.185534820438801,3.73464331004416,0.000221295289617701,0.000846597018699234,-0.433667328807779
"TMEM222",0.432494592623723,-0.299068036870246,3.73410057005528,0.000221753519964074,0.000847714807557782,-0.435607993665108
"IAH1",-0.35809062603983,-0.0378572497623616,-3.73398287592088,0.000221853006018646,0.000847714807557782,-0.43602879611216
"BIRC2",-0.232115375490829,0.155045319817496,-3.73290355901082,0.000222767310187996,0.000850699327482271,-0.439887206879531
