"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PRSS23",0.608067037418746,-1.00569080162756,3.03813713748963,0.00256988631306896,0.00823317817809597,-2.7277543288497
"TMEM30A",0.346364725717688,-0.245543074120646,3.03579708607077,0.00258936180083826,0.00828867439423269,-2.73465540886364
"DCN",-0.533436415743428,-1.28046941646798,-3.0357440132166,0.00258980507697638,0.00828867439423269,-2.73481186848942
"LSM7",-0.248943613285651,0.24418280584532,-3.03549737559095,0.00259186596332788,0.00829111431655737,-2.73553892623051
"DTX2",0.363176448124714,0.1697644849273,3.03509247077856,0.00259525258553006,0.00829779056515246,-2.73673241528101
"OSBP2",-0.364758325445995,-0.243702853140362,-3.03335273026256,0.00260985006514208,0.00834028661958567,-2.74185872536678
"NCF1",-0.465591689207606,-0.200544827182836,-3.03221948552941,0.00261939919284478,0.00836645857054669,-2.74519644330017
"ARL3",0.31673758568233,0.0326346491460223,3.03207008620724,0.00262066047628714,0.00836645857054669,-2.74563637746985
"BPTF",0.25358688554131,0.130849880453527,3.03107267479026,0.00262909528748103,0.00838539113473625,-2.74857291616544
"ZFAND5",0.282738518452211,0.10241822410272,3.03105825752177,0.00262921739259859,0.00838539113473625,-2.74861535621023
"NOP9",0.264668717145521,0.0109214788899259,3.0307751561313,0.00263161613712838,0.00838885124092097,-2.74944868174999
"MAP2K7",0.20398914413088,-0.17349121539019,3.02838490301104,0.00265194923036715,0.00844944901990732,-2.75648159735676
"GRPEL1",0.361746669440812,0.352291975998933,3.02761108132044,0.00265856272040265,0.00846629574552166,-2.75875731232223
"KHDRBS1",0.16416447698535,0.301460057628818,3.02682614602644,0.00266528666051559,0.00848347723200001,-2.76106514906165
"TACO1",0.316301507868899,0.152924910455182,3.02643414799569,0.00266865045004528,0.00848995173071206,-2.76221747477158
"RBM4B",-0.301972941656184,-0.213040114320941,-3.02576830596847,0.00267437306691531,0.00850392033478799,-2.76417447455264
"SCRN1",0.351150031712023,-0.0312301074057675,3.0255714207378,0.00267606736499044,0.00850507223766251,-2.76475306885216
"FAM234A",0.352710552398554,-0.0526596578425446,3.0237687725739,0.00269162595081818,0.00855026452536024,-2.7700489254667
"LRRC40",0.209954929783782,-0.109042507349838,3.02287102953436,0.00269940527006107,0.00856904153761475,-2.77268521961713
"VANGL1",0.342915315538204,-0.319373960585121,3.02277702208695,0.00270022107653577,0.00856904153761475,-2.77296123716344
"JUP",0.322933579073652,0.0893058037794202,3.02215309518457,0.00270564131756086,0.0085819770554526,-2.77479295827523
"SPATS2L",0.333226202700052,0.306984745682938,3.02184098703599,0.00270835644081108,0.00858632367158826,-2.77570910940935
"CPSF7",0.211469868364666,0.139589356147088,3.02028581181496,0.00272192269522775,0.00862505032706162,-2.78027278105775
"TIMM29",0.280502225202761,0.101548984783472,3.01899678184968,0.00273321452635658,0.00865653509463631,-2.78405376313571
"TRAPPC4",-0.183892265382589,-0.0419559330040121,-3.01714866375019,0.00274947895325528,0.00869975361146937,-2.78947199799382
"NSF",0.205437353269703,0.241161150086789,3.01713660118465,0.00274958540140097,0.00869975361146937,-2.78950735220397
"NME1",0.405071046026766,0.167231298176503,3.01586593304404,0.00276081983205726,0.00873097306968084,-2.79323080825457
"HNRNPC",0.211059327539054,0.288262513286752,3.01416100892106,0.00277595984937494,0.00877450675161335,-2.79822443883008
"NOL3",0.325209241165054,-0.0804997171579854,3.01287040333901,0.00278747126509665,0.00880653341298471,-2.80200277580143
"UBR7",0.318933502250423,0.0459223442785412,3.01238524088011,0.00279180993317858,0.00881587854764848,-2.80342272638208
"PRKDC",0.249859720850183,0.242344294028842,3.01188400296008,0.00279629886560941,0.00882568870831243,-2.80488949858275
"VAPA",0.263092231130574,-0.175501198681322,3.01144357948216,0.00280024862691332,0.00883378828203635,-2.80617811886863
"HSDL1",0.369787319344203,-0.180087896917783,3.01083384326088,0.00280572524966978,0.00884669418229212,-2.80796183126797
"GDAP1",0.580722249057484,-0.449615751028844,3.0105375675255,0.00280838993040857,0.00885072542233896,-2.80882842806907
"BCL10",0.244198603562324,0.126030365526292,3.01035361726784,0.00281004553257105,0.00885157411221812,-2.80936643592283
"ASNS",0.591288732136248,-0.0321967566517561,3.00791904755871,0.00283204182214251,0.0089164630347041,-2.81648400395899
"MKRN2",-0.203236761044033,0.106253478074163,-3.00714880477908,0.00283903376829555,0.00893407127184183,-2.81873470648835
"LRBA",0.326335219440593,0.134900701431413,3.00357207702403,0.00287170976089628,0.00903244671099642,-2.82917900206141
"CARD19",-0.257139218304546,-0.117287585491793,-3.0020126925883,0.00288606353087873,0.00907312439421994,-2.83372883047071
"NQO2",-0.542726484583881,-0.144232826526317,-3.00016814307714,0.00290312709835517,0.00912227683218395,-2.83910779938484
"EIF3K",0.205305516677057,0.0827004044670765,2.99664486571099,0.00293597758764134,0.00922094384622025,-2.84937347780597
"FXN",0.398811174035654,-0.151619060841327,2.99649144355509,0.00293741578437149,0.00922094384622025,-2.84982024030047
"NEMF",0.191941236207075,0.163285673683129,2.99606894248534,0.00294137969620099,0.00922884980847337,-2.85105044368739
"PIGU",0.390257088816644,-0.035202252305568,2.99546299183548,0.00294707329471188,0.00924217239034152,-2.85281451353604
"CCAR1",0.173089997449635,0.261900155031066,2.99362625238278,0.00296439333869904,0.00929192511909345,-2.85815964482041
"PTS",0.442645341470744,0.106876469352708,2.99274582820485,0.0029727285785026,0.00931347986935186,-2.86072068358426
"HTATSF1",0.293621396233964,0.168269470602277,2.99246623815071,0.00297538003190746,0.0093172150582291,-2.8615338252301
"CASC3",0.249010910614314,0.0149364676338426,2.9916687692067,0.00298295463019301,0.00933459579704361,-2.86385273710472
"TAMM41",-0.318817600820429,0.0196817715046778,-2.99157416829434,0.00298385434953266,0.00933459579704361,-2.86412778255896
"EEF1G",0.22129310580184,0.273982168363895,2.98988943320696,0.00299991904278439,0.0093802561646319,-2.86902465091994
"PLEKHA2",-0.250284668681056,-0.064743405140231,-2.98871856456235,0.00301113043475188,0.00941070378164011,-2.87242637093083
"SLTM",0.210398399978236,0.228836918604105,2.98793694601974,0.00301863600537347,0.0094295454473139,-2.87469650174099
"TRMT1L",0.263984871777177,0.154158200039293,2.98577462154649,0.00303948934472816,0.00949004374869893,-2.88097382094032
"HUS1",0.250250397856634,0.140027743702384,2.9852359718829,0.00304470454692022,0.00950168061196755,-2.88253687390613
"CHMP4B",0.24549583297627,0.31316330732088,2.98438092831614,0.0030529999108747,0.0095229137425183,-2.88501748972313
"BORCS6",-0.169347980126918,-0.0867482819066121,-2.98322918526476,0.00306420649071561,0.00955320236485311,-2.88835781328947
"IGF2",-0.491836952138145,-0.004068382447141,-2.98239385100902,0.00307235794366623,0.00957346792654741,-2.89077971329619
"AP2M1",-0.168609828679002,0.0330239459444164,-2.98225595933613,0.00307370544235273,0.00957346792654741,-2.89117944337553
"HP",-0.650223001449636,-0.923118819022076,-2.98120847085942,0.00308395935140806,0.00960072182288661,-2.89421540491558
"NCKAP1",-0.166317723799492,-0.0888834709308285,-2.98076544176306,0.0030883056031894,0.00960956689881302,-2.89549914294734
"PHF5A",0.170178856291547,0.302606946204709,2.97979419286696,0.00309785349308967,0.0096300722700145,-2.89831283832079
